trackID, chamberNb, energyDeposit(keV), Xpos, Ypos, Zpos
240, 4, 4.474e+01, -1.933e+00, -5.733e+00, -2.548e+01
240, 5, 4.260e+02, -2.444e+00, -6.624e+00, -3.164e+01
240, 5, 2.967e+02, -3.303e+00, -6.228e+00, -4.173e+01
240, 4, 1.811e+02, -3.847e+00, -4.656e+00, -4.823e+01
241, 4, 4.622e+01, -1.933e+00, -5.733e+00, -2.548e+01
241, 5, 9.771e+01, -2.164e+00, -6.720e+00, -2.888e+01
241, 6, 6.528e+01, -2.349e+00, -7.721e+00, -3.136e+01
241, 7, 7.306e+01, -2.506e+00, -8.727e+00, -3.341e+01
241, 8, 5.751e+01, -2.654e+00, -9.735e+00, -3.516e+01
241, 9, 6.505e+01, -2.792e+00, -1.074e+01, -3.670e+01
242, 5, 6.021e+00, 6.992e+00, -9.801e-01, -1.516e+00
242, 6, 3.134e+01, 7.992e+00, -1.120e+00, -1.733e+00
242, 7, 2.980e+01, 8.993e+00, -1.256e+00, -1.953e+00
242, 8, 3.216e+01, 9.994e+00, -1.388e+00, -2.173e+00
242, 9, 4.557e+01, 1.100e+01, -1.517e+00, -2.395e+00
244, 5, 9.569e+00, 6.992e+00, -9.801e-01, -1.516e+00
244, 6, 4.007e+01, 7.992e+00, -1.120e+00, -1.732e+00
244, 7, 4.510e+01, 8.992e+00, -1.262e+00, -1.948e+00
244, 8, 4.820e+01, 9.992e+00, -1.405e+00, -2.163e+00
244, 9, 1.993e+01, 1.099e+01, -1.549e+00, -2.377e+00
245, 7, 7.297e+01, -8.924e+00, 1.676e+00, -2.088e+01
245, 8, 2.209e+02, -9.920e+00, 1.843e+00, -2.302e+01
245, 9, 7.059e+01, -1.091e+01, 2.021e+00, -2.515e+01
246, 7, 1.661e+02, -8.909e+00, 1.753e+00, -2.148e+01
246, 8, 1.958e+02, -9.879e+00, 2.051e+00, -2.754e+01
246, 9, 2.179e+02, -1.097e+01, 1.683e+00, -3.440e+01
247, 3, 1.910e+02, 3.341e+00, -3.773e+00, -2.885e+01
247, 4, 2.284e+02, 4.130e+00, -4.421e+00, -3.552e+01
247, 5, 2.279e+02, 4.961e+00, -5.023e+00, -4.255e+01
247, 6, 2.145e+02, 5.838e+00, -5.571e+00, -4.996e+01
248, 3, 8.720e+01, 2.999e+00, -4.051e+00, -2.642e+01
248, 4, 6.595e+01, 3.252e+00, -5.102e+00, -2.913e+01
248, 5, 1.330e+02, 3.485e+00, -6.140e+00, -3.156e+01
248, 6, 7.350e+01, 3.701e+00, -7.171e+00, -3.376e+01
248, 7, 5.713e+01, 3.902e+00, -8.199e+00, -3.580e+01
248, 8, 5.684e+01, 4.089e+00, -9.224e+00, -3.770e+01
248, 9, 5.258e+01, 4.267e+00, -1.025e+01, -3.948e+01
139, 0, 5.093e+02, 1.625e+00, 1.183e+00, -3.594e+01
138, 0, 3.178e+02, 1.613e+00, 1.199e+00, -2.106e+01
138, 1, 3.449e+02, 2.507e+00, 1.684e+00, -3.268e+01
138, 2, 4.180e+02, 3.461e+00, 2.065e+00, -4.510e+01
250, 0, 1.297e+00, -1.992e+00, -1.792e-01, 1.042e+01
250, 0, 1.528e+00, -1.992e+00, -1.793e-01, 1.042e+01
250, 0, 8.875e-01, -1.992e+00, -1.794e-01, 1.042e+01
250, 0, 1.032e+00, -1.992e+00, -1.795e-01, 1.042e+01
250, 0, 1.579e+00, -1.992e+00, -1.797e-01, 1.042e+01
